name_of_renter, type_of_motorcycle, amount_of_days, total_cost
trey, 0190, $2.00
trey, 1650, 2, 949.58
trey, 1765, 2, 1049.58
trey, 1765, 2, 1049.58
trey, 0660, 2, 649.58
trey, 0410, 2, 674.58
trey, 0190, 2, 599.18
trey, 0660, 2, 649.58
trey, 0410, 2, 674.58
trey, 0660, 2, 649.58
trey, 0910, 2, 1029.58
trey, 1765, 2, 1049.58
kylee, 1765, 12, 2547.47
trey, 1765, 2, 1049.58
trey, 0190, 2, 599.18
5, 0910, 4, 1329.16
mikey, 1650, 3, 1099.37
Devin, 0910, 14, 2827.05
trey, 0190, 2, 599.18
trey, 1765, 2, $1049.58
trey, 1650, 2, $949.58
Trey, 1765, 2, $1049.58
2, 0910, 2, $1029.58
1765, 1765, 2, $1049.58
2, 1765, 2, $1049.58
trey, 0190, 2, $599.18
trey, 0410, 2, $674.58
trey, 1650, 2, $949.58
trey2, 0190, 1, $449.39
trey, 0910, 2, $1029.58
trey, 0410, 2, $674.58
trey, 0410, 2, $674.58
trey, 0190, 2, $599.18
trey, 0410, 2, $674.58
trey, 0190, 1, $449.39
1, 0410, 2, $674.58
2, 1650, 2, $949.58
trey, 0660, 2, $649.58
1, 0190, 2, $599.18
2, 0660, 2, $649.58
trey, 0410, 2, $674.58
trey123, 0190, 1, $449.39
trey123, 0410, 3, $824.37
